path	size_bytes	ext	kind	exec	sha256
app/src/main/java/com/antlersoft/android/bc/BCStorageContext7.java	720	.java	text/source	no	be7f8b57d36e747150e2c6e45ba3edd278dde8e72c52313dd91961682586259a
app/src/main/java/com/antlersoft/android/bc/BCStorageContext8.java	534	.java	text/source	no	fa201defec49999ae6cd0aa8f11112b7176b33e9caa495f48ff6b0cec432a09a
app/src/main/java/com/antlersoft/android/bc/IBCActivityManager.java	265	.java	text/source	no	0ceba1d9489e14977a4476d893396bc5d95369997da0f64e82494941cdef4ff3
app/src/main/java/com/antlersoft/android/bc/IBCHaptic.java	515	.java	text/source	no	47026e45c295bb730d48192a5dac8df2c2174ee15f63cc0bbd5420be9e57570a
app/src/main/java/com/antlersoft/android/bc/IBCMotionEvent.java	517	.java	text/source	no	2f6bd1bfd210bc6914c4505e117c19ab56f700cd54911d82a4d9ae480aa3c636
app/src/main/java/com/antlersoft/android/bc/IBCStorageContext.java	863	.java	text/source	no	02c8e14932de908b858d004d5bc96bc15cdb1052f09120e98ed7b3c0a6ad0e12
app/src/main/java/com/antlersoft/android/drawing/OverlappingCopy.java	5074	.java	text/source	no	f7c1818724548e9fbe3175debf894333a5368d875f01509bf8922b911e19411b
app/src/main/java/com/antlersoft/android/drawing/RectList.java	15337	.java	text/source	no	a7c991e4442f0e70f0443b8730d929f0b37f28f8477b3d05fca75f5b1f610ea7
app/src/main/java/com/antlersoft/util/ByteBufferStack.java	1779	.java	text/source	no	8fedef7e033c54552624c1a4cc7832fcd55e82a1b8aac86972c7f7b65604b0b3
app/src/main/java/com/antlersoft/util/ObjectPool.java	1224	.java	text/source	no	fb5cce96432f52f062a0f364c33265d9640e3a35c4eae2c83b6d00925fc46e27
app/src/main/java/com/antlersoft/util/SafeObjectPool.java	666	.java	text/source	no	cdc53e05401d8eb4bd468287b70ff3c29106ce9cb07bfbfa556881a99daeaf6d
app/src/main/java/com/k2/zoomimageview/ZoomImageView.kt	15824	.kt	text/source	no	7db4e2ab86027161a97ef36c4d38ce9a24195b1ec8aa43e22f5b8b3bd270202e
app/src/main/java/com/termux/app/BackgroundJob.java	9911	.java	text/source	no	3dbb2af9321b0c6595ae509750d7bef05542e91bb29e26f602397de75a6c28cb
app/src/main/java/com/termux/app/BellUtil.java	1879	.java	text/source	no	21fa017559c1e7ff2e727458af324d645abc82d75ec4c071cc881ca2a6c9e85c
app/src/main/java/com/termux/app/DialogUtils.java	3110	.java	text/source	no	ec5acdee16675d341db2f21245a9b95edb3de81b7d6d3607eaefda65a8fa384f
app/src/main/java/com/termux/app/ExtraKeysInfos.java	12101	.java	text/source	no	f028de69871d63c8556a2f7d8ec5515d97e6f8b1f84c587c7ad1f420fd57f1e3
app/src/main/java/com/termux/app/ExtraKeysView.java	15634	.java	text/source	no	44ce4a0645e6a3ff796e35d8fee9152bcaa7cf6855dd404f2e4c42b0e75fc936
app/src/main/java/com/termux/app/FullScreenWorkAround.java	2445	.java	text/source	no	acf393a8512a328bd9c04d6142eedd27a2b3e1a9990ed11a9a2e2962f06f14fb
app/src/main/java/com/termux/app/RunCommandService.java	7688	.java	text/source	no	02a19d046a202d716af8356011a4f83efdb8eed5308d72963ddef62cf91c471d
app/src/main/java/com/termux/app/TermuxActivity.java	43743	.java	text/source	no	a3486db864f41de7868aaacace894c816fbbaacbeed81893e9d7a15cb6c6c406
app/src/main/java/com/termux/app/TermuxHelpActivity.java	2544	.java	text/source	no	5ff97b8d965873dd8a02d1386121602da9407eac0afee64ab864c14d5059dd9f
app/src/main/java/com/termux/app/TermuxInstaller.java	11872	.java	text/source	no	093fc6a59044e1d44cf16fcda30498d33ea48062edc754037bfb9b62b4b7e4cf
app/src/main/java/com/termux/app/TermuxOpenReceiver.java	7125	.java	text/source	no	f56a74b9ea89d8dcedad1fcadd69dd001c5446c0e49ddac0548313430ad581d0
app/src/main/java/com/termux/app/TermuxPreferences.java	10720	.java	text/source	no	71bcc4c2d8e8434fb009aaa1e72cc8c1dec36723291fde2dda441861de84453e
app/src/main/java/com/termux/app/TermuxService.java	17156	.java	text/source	no	255041258e8014c82a0be6e9fffc0787655d6c43f8fa5a461faf67c9e3a73f7a
app/src/main/java/com/termux/app/TermuxViewClient.java	11214	.java	text/source	no	0e997a620deaa845f2f299c26aae4b2ee9e2696da8748816c75c733f1437b470
app/src/main/java/com/termux/filepicker/TermuxDocumentsProvider.java	11879	.java	text/source	no	389e5f8b765cb3d1b59ffa9e420c99147acfba3e6fcc3257f1a62caf9ee132aa
app/src/main/java/com/termux/filepicker/TermuxFileReceiverActivity.java	8819	.java	text/source	no	2c2b1695ea53f117386ec375bc159a07d29277da74a1280a84a3b35b391b2b7a
app/src/main/java/com/termux/shared/termux/extrakeys/ExtraKeyButton.java	5383	.java	text/source	no	77139f039472e992eb382ef49b7eba90af06afb111eaccef8a7b8f2170240586
app/src/main/java/com/termux/shared/termux/extrakeys/ExtraKeysConstants.java	8391	.java	text/source	no	6a9b27f3789ceacd746cda65fd833dca23191933c8ca41517467456e64b49ea1
app/src/main/java/com/termux/shared/termux/extrakeys/ExtraKeysInfo.java	9661	.java	text/source	no	14f87b64f8e6b451465da4a7cd660317af4fd0f072ebdc04391b554fe08df011
app/src/main/java/com/termux/shared/termux/extrakeys/ExtraKeysView.java	26634	.java	text/source	no	0ebf3578312c2b246ba09c4b7f05a67917ae4a571c22b5030cc6630bc472b689
app/src/main/java/com/termux/shared/termux/extrakeys/SpecialButton.java	1567	.java	text/source	no	7af5d6f3b9ec29bea33f8c0c373d4c9179bf8aa3674c30c50bb583cfed1cd1a6
app/src/main/java/com/termux/shared/termux/extrakeys/SpecialButtonState.java	1533	.java	text/source	no	a7a521609c8e5f96e9bbbfc0e34d2c574b1bfbaf1771a27511e17c31e861fc16
app/src/main/java/com/vectras/qemu/Config.java	7550	.java	text/source	no	cb6dea6782bcf412f75f861d22514a081327e60ce3c73a40a7716e28ce532c20
app/src/main/java/com/vectras/qemu/MainSettingsManager.java	50411	.java	text/source	no	f3559147d70337afd5fa1208cb48470c3af472f6d75911c3c65dadad7b4ba823
app/src/main/java/com/vectras/qemu/MainVNCActivity.java	58703	.java	text/source	no	c015981c34a3d1aeae29efa9c7745205e69117bd8bc010096a69f974e4df7724
app/src/main/java/com/vectras/qemu/SettingsFragment.java	805	.java	text/source	no	d7a992049181c4dd21ebcc9087814a2e38343a6602da4261f7da7028e06217f7
app/src/main/java/com/vectras/qemu/VNCConfig.java	141	.java	text/source	no	3aa0f354119f6760e944269de0cfcda7a264e0776397b60de2ea21a49838a734
app/src/main/java/com/vectras/qemu/utils/FileInstaller.java	9976	.java	text/source	no	491d294f6c1176f26f3ba1902b43d4d50ed534afffabc3a8e560f0c1d1425d85
app/src/main/java/com/vectras/qemu/utils/FileUtils.java	23389	.java	text/source	no	6f37dd29bbfb2f28dd7c7bbded2328b71e4bcc526d5c9adfe47bb399c563b2d7
app/src/main/java/com/vectras/qemu/utils/QmpClient.java	9277	.java	text/source	no	f58956d4aaad9cba02157c557fa027ad56db1c9c78b0413d6f23a13b730d5f2e
app/src/main/java/com/vectras/qemu/utils/RamInfo.java	1577	.java	text/source	no	026ae441953f9672c585746927b6e6824f0dc2e0f4309df1bc89b05324de9a5b
app/src/main/java/com/vectras/vm/AboutActivity.java	7342	.java	text/source	no	5d173f1d6a8d80c47bb237c52821ab0f4a4a77a9785c2faed9c55aee229ad13e
app/src/main/java/com/vectras/vm/AppConfig.java	7408	.java	text/source	no	876d33d3c15da46bcba1590cf0c3ede4e16e37c34a6fae56297f4c7e17d7b738
app/src/main/java/com/vectras/vm/CqcmActivity.java	8570	.java	text/source	no	2a5577cc5c0e222315b5b8fa2d272bc2eecb3a8987f5e5301bc9c12af3db8b7c
app/src/main/java/com/vectras/vm/DataExplorerActivity.java	12384	.java	text/source	no	64dd8f0f7b218f594821f9c398b00ec0f9e3ed7c18f46b5cf19cbfe3c679ee4b
app/src/main/java/com/vectras/vm/ExportRomActivity.java	11945	.java	text/source	no	858eb1bab48edfa6711d3656e7be30594407ecdb74438e45a03e323258140538
app/src/main/java/com/vectras/vm/Fragment/ControlersOptionsFragment.java	3409	.java	text/source	no	ae92143945d6922077d3fe4547b251703a3d637c2626e07858ecf3c97fc4b783
app/src/main/java/com/vectras/vm/Fragment/CreateImageDialogFragment.java	4213	.java	text/source	no	98490d821e5c4b72d021a11eab7574c9f65a799f946631063da7adb3130b0a7a
app/src/main/java/com/vectras/vm/Fragment/LoggerDialogFragment.java	2145	.java	text/source	no	e68c9ff6f04b27233347325b1e7f1c9bc9f7d50dd54182291a82034383de04c4
app/src/main/java/com/vectras/vm/Fragment/LoggerFragment.java	1864	.java	text/source	no	cf339670d14cd58ed5d7a05d94969fd9b102968f93638e35c74fc0d4ed23d0aa
app/src/main/java/com/vectras/vm/ImagePrvActivity.java	1527	.java	text/source	no	507925f01557bd699f88ee5d2c89e77edc2f139bc0edf4f4721811cff8c532dd
app/src/main/java/com/vectras/vm/MainService.java	4708	.java	text/source	no	e3b2790be5160936a42f2859295e0a27deffa863d6a14fa55e2c4d451b21f4ef
app/src/main/java/com/vectras/vm/Minitools.java	15375	.java	text/source	no	ffffba264c81d3da34ae973bbc83884411e5cfafd4a83a468eb1ca9272ffe247
app/src/main/java/com/vectras/vm/QemuParamsEditorActivity.java	7341	.java	text/source	no	317bbf4f66e207d6aa41fa983ff858c2b4a7fee609d2e069ecf7fded2ecbb273
app/src/main/java/com/vectras/vm/RomInfo.java	26143	.java	text/source	no	b4d1d9effe859de54c98ef964e7d0d4aa29a8e721ade3ee6f2900a98c9d26c8a
app/src/main/java/com/vectras/vm/RomReceiverActivity.java	6309	.java	text/source	no	dc32f584cd9b205fb7f8b82a5ada139657a3186ba4da657b2176fcc6486e4320
app/src/main/java/com/vectras/vm/SetArchActivity.java	6002	.java	text/source	no	feee0d16232b0f6d89218913e08c155ec70d4be7c1c0d786ae8647744fc5f66f
app/src/main/java/com/vectras/vm/SplashActivity.java	5570	.java	text/source	no	ead0a49d9bfacf48774aa170262d0d3e957541fa10c722c601a0d790c97c63b2
app/src/main/java/com/vectras/vm/StartVM.java	14637	.java	text/source	no	655974810b5fa6549343d61de4963d2999fd8be493262b0bb0e1932c651758ac
app/src/main/java/com/vectras/vm/VMCreatorActivity.java	45620	.java	text/source	no	d96f3018ecdbdf3f7fc581fa93ec8bf245520a2f173a8978a9fff6264ac3af05
app/src/main/java/com/vectras/vm/VMManager.java	83750	.java	text/source	no	5c8b4837f94c7896c33913f5ece83208ead7df3ddc5670c9ab95c5c363b7b59a
app/src/main/java/com/vectras/vm/VectrasApp.java	4603	.java	text/source	no	56c00da7b6449128475e0f4bb98a1ebec1afc8a225900438e843248f0db4362b
app/src/main/java/com/vectras/vm/WebViewActivity.java	4099	.java	text/source	no	4319310169d42e84e6d121be1002b3a44ae9e1219ee70906e1da008e5cc7195e
app/src/main/java/com/vectras/vm/adapter/LogsAdapter.java	9100	.java	text/source	no	8fe114e5736695b7290b2403b5da93a59ef046eced3a0e799b04e992f54951b1
app/src/main/java/com/vectras/vm/adapters/GithubUserAdapter.java	1431	.java	text/source	no	1aa66545a7096d450315379dbeefd7302329757457224ecfa2a02769ae7ae8d7
app/src/main/java/com/vectras/vm/audit/AuditEvent.java	1858	.java	text/source	no	74fbfe2a267fe149eb14f918643e56c8eb6e8d5382b4c5e8161760051853b9ed
app/src/main/java/com/vectras/vm/audit/AuditLedger.java	1394	.java	text/source	no	32544b7c3361b959e8d06ae7609e6d3f59d1f3dbb203bab304220ec2648ba884
app/src/main/java/com/vectras/vm/benchmark/BenchmarkActivity.java	33935	.java	text/source	no	f7fa9bf2cf241ec53d499ce70108081f6b1e9e1fe68093388dd8039abe1c9b6b
app/src/main/java/com/vectras/vm/benchmark/BenchmarkManager.java	49791	.java	text/source	no	4585b65b4f4c3c36e4e80bee38bff4d4d823d231445af26f78b248f0af0b6be5
app/src/main/java/com/vectras/vm/benchmark/VectraBenchmark.java	95132	.java	text/source	no	3e9cf64fb19db5808d56fe712234b7cfdd10a813ba24ff81670181a0b7a5047a
app/src/main/java/com/vectras/vm/core/AdvancedAlgorithms.java	23990	.java	text/source	no	c59f9d17c3ad6656bbebf93be8ac150669178e6a0cd97761593de0c03ebd13ce
app/src/main/java/com/vectras/vm/core/AlgorithmAnalyzer.java	15572	.java	text/source	no	a337cfda67e1c7e3b92769e210055d0a8521c7b11143848f06da739f1073e955
app/src/main/java/com/vectras/vm/core/BareMetalProfile.java	6955	.java	text/source	no	391d3cfd78647f993955fb485a3c16e0482ed674bdfadb149790683f77c15b70
app/src/main/java/com/vectras/vm/core/BitwiseMath.java	26370	.java	text/source	no	a37cde505ab57e21719e172681fb41db5335afb15f7bc2e9f34fe82a0611b382
app/src/main/java/com/vectras/vm/core/BoundedStringRingBuffer.java	2275	.java	text/source	no	1eba6e80fa8d41d827ee563b469fbe7ba805869f1e2529c682de7e39889421f0
app/src/main/java/com/vectras/vm/core/DeterministicRuntimeMatrix.java	6023	.java	text/source	no	0f91beb9a720b0f70529ffd7a5a594028e25d8c0f498c1df6bd70963f544c0b7
app/src/main/java/com/vectras/vm/core/LogcatRuntime.java	3300	.java	text/source	no	3504fce4ba38861e6ed6e582db4255a93a139c0e20fa1f28739bf8773703fcd6
app/src/main/java/com/vectras/vm/core/LowLevelAsm.java	10386	.java	text/source	no	39c5da47ac495afde46cd5f1439e0d7fc848087ed27b436caab751162adf1e8f
app/src/main/java/com/vectras/vm/core/MathUtils.java	19228	.java	text/source	no	b0b6b0e0e9bbf6bb7f5a441c4c5299a59609176f8fc769b6cc4ef7fa4cf243d3
app/src/main/java/com/vectras/vm/core/NativeFastPath.java	16302	.java	text/source	no	a1a128e0be2b969dbac09be0f04adae5c092a9abc345a1e77b9afdf7b9298f94
app/src/main/java/com/vectras/vm/core/NativeLogcatBridge.java	1278	.java	text/source	no	29431d021b0ae6eb85b55e5f9a745b88b5edf945b71d8497415aca4435f137ca
app/src/main/java/com/vectras/vm/core/OptimizationStrategies.java	15998	.java	text/source	no	8de6479bd8cc95daf8696bac6a4363f904a4e92739ff59d581c72f1aeeb2c036
app/src/main/java/com/vectras/vm/core/PerformanceMonitor.java	13284	.java	text/source	no	407e3d58d9f1849ce2fc8f3dfecdea720069255ebf715a3ed8e8d69d1990df96
app/src/main/java/com/vectras/vm/core/ProcessOutputDrainer.java	2939	.java	text/source	no	764295913837ed9b53b4472e16f323ca67275bc07e8c9ee1571242ebfc9d285d
app/src/main/java/com/vectras/vm/core/ProcessRuntimeOps.java	1069	.java	text/source	no	1c2228697ce9314ce83e4be2243867d889a2a57d37d43993538ba9aae51614b6
app/src/main/java/com/vectras/vm/core/ProcessSupervisor.java	9247	.java	text/source	no	c70959759ff3669651f479d61be12ecb0dc87c2c86d72733b1a6c0b2c5c53e4b
app/src/main/java/com/vectras/vm/core/PulseAudio.java	2696	.java	text/source	no	ec284b5edfafbfb34cf7de371ba549258f0b03523df6e9e564c161b0da95453f
app/src/main/java/com/vectras/vm/core/QualityStandardsCatalog.java	4357	.java	text/source	no	cebdb72ffb425565c4bb001e02106928b3ac094da11403227d93f58a303b35a5
app/src/main/java/com/vectras/vm/core/ShellExecutor.java	7917	.java	text/source	no	b55b820b147f79d99069e1ce86a515c89c142a5da839cf5f256406b8ed9eb71e
app/src/main/java/com/vectras/vm/core/TermuxX11.java	2404	.java	text/source	no	76e809ed9dfcf3673260cf6ff82505af8f225a2ff8369080f37466ef114199e8
app/src/main/java/com/vectras/vm/core/TokenBucketRateLimiter.java	1164	.java	text/source	no	5376654378d97dcb2a76199d640339253396be351db2fa1f35453e36cf226703
