path	kind	size	lines	ext	issues	sha
addthis/vectras_speed_estimate.jsx	text	16235	252	.jsx	-	-
android/README.md	text	778	20	.md	-	-
android/app/build.gradle	text	742	34	.gradle	-	-
android/app/src/main/AndroidManifest.xml	text	572	18	.xml	-	-
android/app/src/main/java/com/rafacodephi/app/MainActivity.java	text	400	16	.java	-	-
android/build.gradle	text	245	16	.gradle	-	-
android/settings.gradle	text	202	1	.gradle	-	-
app/.gitignore	text	75	5	<noext>	-	-
app/FILES_MAP.md	text	310050	3565	.md	-	-
app/FIREBASE.md	text	2189	47	.md	-	-
app/README.md	text	2314	42	.md	-	-
app/build.gradle	text	36496	791	.gradle	trailing-whitespace,trailing-whitespace	-
app/proguard-rules.pro	text	2145	50	.pro	-	-
app/src/main/AndroidManifest.xml	text	13061	282	.xml	-	-
app/src/main/aidl/com/vectras/vm/x11/ICmdEntryInterface.aidl	text	258	8	.aidl	missing-final-newline	-
app/src/main/assets/alpine19/arm64-v8a.tar	binary	3227138	0	.tar	-	-
app/src/main/assets/alpine19/armeabi-v7a.tar	binary	3068308	0	.tar	-	-
app/src/main/assets/alpine19/x86.tar	binary	3142666	0	.tar	-	-
app/src/main/assets/alpine19/x86_64.tar	binary	3299654	0	.tar	-	-
app/src/main/assets/bootstrap/arm64-v8a.tar	binary	758179	0	.tar	-	-
app/src/main/assets/bootstrap/armeabi-v7a.tar	binary	721721	0	.tar	-	-
app/src/main/assets/bootstrap/x86.tar	binary	741664	0	.tar	-	-
app/src/main/assets/bootstrap/x86_64.tar	binary	749343	0	.tar	-	-
app/src/main/assets/roms/QEMU_EFI.img	binary	67108864	0	.img	-	-
app/src/main/assets/roms/QEMU_VARS.img	binary	67108864	0	.img	-	-
app/src/main/assets/roms/RELEASEX64_OVMF.fd	binary	4194304	0	.fd	-	-
app/src/main/assets/roms/RELEASEX64_OVMF_VARS.fd	binary	540672	0	.fd	-	-
app/src/main/assets/roms/bios-vectras.bin	binary	262144	0	.bin	-	-
app/src/main/cpp/CMakeLists.txt	text	12762	319	.txt	-	-
app/src/main/cpp/hardware_profile_bridge.c	text	3234	118	.c	-	-
app/src/main/cpp/hardware_profile_bridge_internal.h	text	262	10	.h	-	-
app/src/main/cpp/lowlevel_abi.c	text	5539	168	.c	-	-
app/src/main/cpp/lowlevel_abi.h	text	3729	107	.h	-	-
app/src/main/cpp/lowlevel_bridge.c	text	7095	180	.c	-	-
app/src/main/cpp/termux_bootstrap_bridge.c	text	4297	106	.c	-	-
